CID,BDATE,GEN
NASAW00015352,6/13/1987,Male
NASAW00015353,4/27/1997,Female
NASAW00015354,1/26/2001,Male
NASAW00015355,9/18/1994,Female
NASAW00015356,5/15/2004,Female
NASAW00015357,8/5/1985,Male
NASAW00015358,9/7/1986,Female
NASAW00015359,12/18/1984,Male
NASAW00015360,5/31/1988,Male
NASAW00015361,1/8/1979,Male
NASAW00015362,9/9/1977,Female
NASAW00015363,5/2/1976,Male
NASAW00015364,2/16/1983,Male
NASAW00015365,7/8/1976,Female
NASAW00015366,3/2/2001,Female
NASAW00015367,9/27/1981,Female
NASAW00015368,12/20/1977,Female
NASAW00015369,2/7/1983,Male
NASAW00015370,1/23/2004,Female
NASAW00015371,11/12/1988,Male
NASAW00015372,1/1/1993,Male
NASAW00015373,1/3/1990,Female
NASAW00015374,7/19/1982,Female
NASAW00015375,10/24/1995,Female
NASAW00015376,7/3/1976,Female
NASAW00015377,3/5/1989,Female
NASAW00015378,7/6/1987,Male
NASAW00015379,1/27/1979,Female
NASAW00015380,8/2/1989,Male
NASAW00015381,11/7/1986,Female
NASAW00015382,4/10/1977,Female
NASAW00015383,2/19/1982,Male
NASAW00015384,10/4/1988,Male
NASAW00015385,2/3/1985,Female
NASAW00015386,1/13/1976,Male
NASAW00015387,1/30/2002,Male
NASAW00015388,10/23/2000,Female
NASAW00015389,7/14/1996,Female
NASAW00015390,12/26/1991,Male
NASAW00015391,8/3/1976,Female
NASAW00015392,2/19/1982,Female
NASAW00015393,1/9/2001,Female
NASAW00015394,1/20/1999,Female
NASAW00015395,9/6/1982,Male
NASAW00015396,10/17/1985,Female
NASAW00015397,7/13/2001,Male
NASAW00015398,1/12/1981,Male
NASAW00015399,9/22/1993,Female
NASAW00015400,5/29/1985,Male
NASAW00015401,5/7/1981,Female
NASAW00015402,5/7/1979,Male
NASAW00015403,8/31/1977,Male
NASAW00015404,1/20/2004,Female
NASAW00015405,9/16/1992,Male
NASAW00015406,1/17/1983,Female
NASAW00015407,11/22/2002,Female
NASAW00015408,4/25/1989,Female
NASAW00015409,3/18/2001,Male
NASAW00015410,11/15/1979,Female
NASAW00015411,7/26/1989,Male
NASAW00015412,8/17/1999,Male
NASAW00015413,6/13/1991,Male
NASAW00015414,12/11/2002,Male
NASAW00015415,5/15/1981,Female
NASAW00015416,6/3/1979,Male
NASAW00015417,3/10/1985,Male
NASAW00015418,7/18/2002,Male
NASAW00015419,2/23/1979,Male
NASAW00015420,6/30/1989,Male
NASAW00015421,11/3/1989,Male
NASAW00015422,1/29/1975,Female
NASAW00015423,6/25/1982,Male
NASAW00015424,10/18/1999,Female
NASAW00015425,8/17/1989,Female
NASAW00015426,9/3/1984,Female
NASAW00015427,1/3/1992,Female
NASAW00015428,8/8/1986,Male
NASAW00015429,4/10/1995,Male
NASAW00015430,10/24/1977,Male
NASAW00015431,8/5/1994,Male
NASAW00015432,4/5/2004,Male
NASAW00015433,7/12/1997,Male
NASAW00015434,5/17/2002,Male
NASAW00015435,2/9/1999,Male
NASAW00015436,1/29/1979,Female
NASAW00015437,4/30/2000,Female
NASAW00015438,5/7/2004,Male
NASAW00015439,4/11/2004,Male
NASAW00015440,5/6/1977,Male
NASAW00015441,5/27/1997,Female
NASAW00015442,10/23/1989,Male
NASAW00015443,3/12/1988,Male
NASAW00015444,10/25/1985,Male
NASAW00015445,8/10/1977,Male
NASAW00015446,4/3/1987,Male
NASAW00015447,12/7/1997,Female
NASAW00015448,7/21/1983,Male
NASAW00015449,12/12/2002,Male
NASAW00015450,4/11/1986,Male
NASAW00015451,6/29/2000,Female
NASAW00015452,2/5/1992,Female
NASAW00015453,9/11/1998,Female
NASAW00015454,9/24/1998,Male
NASAW00015455,5/31/1983,Female
NASAW00015456,8/4/1977,Male
NASAW00015457,11/7/2003,Female
NASAW00015458,8/11/1995,Female
NASAW00015459,1/23/2002,Female
NASAW00015460,3/1/1975,Female
NASAW00015461,11/15/1999,Male
NASAW00015462,12/27/2002,Male
NASAW00015463,4/20/1981,Male
NASAW00015464,2/22/1984,Female
NASAW00015465,10/12/2002,Female
NASAW00015466,4/21/1995,Male
NASAW00015467,7/3/1977,Male
NASAW00015468,8/31/1998,Female
NASAW00015469,5/20/1977,Male
NASAW00015470,1/31/1998,Female
NASAW00015471,7/29/1989,Female
NASAW00015472,7/8/1998,Female
NASAW00015473,10/26/2003,Female
NASAW00015474,9/24/1987,Male
NASAW00015475,7/18/1999,Female
NASAW00015476,1/26/2001,Female
NASAW00015477,11/20/1984,Male
NASAW00015478,7/7/1990,Female
NASAW00015479,8/25/1992,Female
NASAW00015480,2/25/1991,Female
NASAW00015481,2/1/1988,Female
NASAW00015482,4/27/1981,Female
NASAW00015483,9/13/1980,Female
NASAW00015484,11/10/2004,Male
NASAW00015485,12/29/2002,Female
NASAW00015486,4/28/1984,Male
NASAW00015487,3/3/1984,Male
NASAW00015488,5/26/1986,Male
NASAW00015489,12/20/2002,Female
NASAW00015490,4/29/1992,Female
NASAW00015491,8/17/1997,Female
NASAW00015492,10/5/1978,Female
NASAW00015493,6/20/1997,Male
NASAW00015494,10/20/1987,Female
NASAW00015495,5/6/2002,Male
NASAW00015496,4/28/1989,Female
NASAW00015497,11/5/2001,Female
NASAW00015498,6/9/1987,Female
NASAW00015499,4/24/1991,Male
NASAW00015500,6/16/1986,Male
NASAW00015501,5/30/1994,Male
NASAW00015502,4/2/1979,Male
NASAW00015503,8/16/2002,Female
NASAW00015504,12/22/2004,Male
NASAW00015505,4/1/1976,Female
NASAW00015506,1/2/2004,Male
NASAW00015507,7/22/2004,Female
NASAW00015508,11/20/1982,Female
NASAW00015509,3/13/2001,Male
NASAW00015510,5/1/1996,Male
NASAW00015511,10/13/1988,Female
NASAW00015512,4/7/1983,Male
NASAW00015513,11/23/1992,Female
NASAW00015514,3/31/1985,Female
NASAW00015515,11/25/1977,Male
NASAW00015516,6/27/2004,Male
NASAW00015517,4/25/1976,Male
NASAW00015518,2/10/2000,Male
NASAW00015519,12/24/1989,Female
NASAW00015520,5/20/1997,Female
NASAW00015521,9/5/1992,Female
NASAW00015522,4/21/1998,Male
NASAW00015523,9/5/1977,Male
NASAW00015524,3/26/1995,Male
NASAW00015525,10/23/1987,Female
NASAW00015526,5/21/1986,Female
NASAW00015527,1/2/1983,Female
NASAW00015528,12/31/2004,Male
NASAW00015529,6/21/2002,Male
NASAW00015530,3/17/1984,Female
NASAW00015531,6/17/1984,Male
NASAW00015532,11/24/1975,Male
NASAW00015533,8/31/1980,Female
NASAW00015534,4/13/1998,Male
NASAW00015535,5/1/1994,Male
NASAW00015536,4/14/1998,Female
NASAW00015537,2/15/2002,Female
NASAW00015538,5/29/2004,Male
NASAW00015539,1/26/1991,Male
NASAW00015540,10/11/1988,Male
NASAW00015541,9/13/1981,Female
NASAW00015542,11/11/1975,Female
NASAW00015543,9/29/1984,Female
NASAW00015544,3/30/1998,Male
NASAW00015545,7/30/1995,Female
NASAW00015546,5/1/1998,Male
NASAW00015547,10/28/1987,Female
NASAW00015548,3/20/1992,Female
NASAW00015549,10/21/1982,Male
NASAW00015550,3/18/2002,Male
NASAW00015551,9/27/1979,Female
NASAW00015552,5/27/1995,Male
NASAW00015553,10/26/1995,Male
NASAW00015554,3/10/1987,Female
NASAW00015555,10/11/1999,Female
NASAW00015556,10/16/1992,Male
NASAW00015557,5/27/1996,Male
NASAW00015558,3/7/1980,Female
NASAW00015559,2/12/1975,Male
NASAW00015560,2/2/1995,Female
NASAW00015561,11/29/1981,Male
NASAW00015562,7/31/1999,Female
NASAW00015563,3/3/1995,Male
NASAW00015564,10/26/1996,Male
NASAW00015565,5/6/1988,Male
NASAW00015566,8/11/1995,Male
NASAW00015567,1/5/1985,Female
NASAW00015568,10/9/1986,Male
NASAW00015569,7/20/1996,Female
NASAW00015570,8/19/1995,Female
NASAW00015571,5/15/1982,Male
NASAW00015572,1/13/1984,Female
NASAW00015573,11/8/1985,Male
NASAW00015574,9/17/1979,Male
NASAW00015575,10/8/1976,Male
NASAW00015576,11/10/1987,Female
NASAW00015577,9/3/1984,Female
NASAW00015578,9/16/1985,Female
NASAW00015579,3/15/2003,Female
NASAW00015580,1/1/1977,Male
NASAW00015581,4/12/1988,Female
NASAW00015582,1/9/1988,Male
NASAW00015583,1/26/1994,Female
NASAW00015584,1/17/1995,Female
NASAW00015585,7/16/2000,Male
NASAW00015586,11/16/1983,Male
NASAW00015587,4/5/2001,Female
NASAW00015588,5/15/1998,Female
NASAW00015589,1/4/2001,Male
NASAW00015590,1/21/1990,Male
NASAW00015591,8/15/1977,Male
NASAW00015592,1/19/1985,Female
NASAW00015593,9/18/2002,Female
NASAW00015594,8/7/1988,Female
NASAW00015595,9/18/1996,Male
NASAW00015596,12/27/1985,Male
NASAW00015597,12/21/1981,Male
NASAW00015598,2/7/1983,Female
NASAW00015599,8/15/2002,Male
NASAW00015600,10/19/1983,Male
NASAW00015601,2/6/1998,Female
NASAW00015602,11/15/1993,Male
NASAW00015603,5/30/1992,Male
NASAW00015604,10/15/1987,Male
NASAW00015605,7/15/1990,Male
NASAW00015606,8/21/1992,Male
NASAW00015607,3/6/1988,Male
NASAW00015608,11/15/1988,Female
NASAW00015609,4/14/2002,Male
NASAW00015610,2/16/2002,Female
NASAW00015611,9/15/2002,Female
NASAW00015612,5/21/1995,Male
NASAW00015613,1/22/2000,Female
NASAW00015614,12/13/2000,Female
NASAW00015615,6/20/1986,Female
NASAW00015616,4/4/1994,Female
NASAW00015617,1/12/1979,Female
NASAW00015618,12/25/1995,Male
NASAW00015619,12/17/1996,Male
NASAW00015620,6/14/1990,Female
NASAW00015621,6/8/1989,Female
NASAW00015622,8/14/1988,Male
NASAW00015623,11/2/1982,Female
NASAW00015624,1/1/2003,Male
NASAW00015625,4/23/1985,Male
NASAW00015626,9/14/2000,Male
NASAW00015627,12/1/1991,Male
NASAW00015628,9/8/2001,Female
NASAW00015629,5/29/1984,Female
NASAW00015630,9/14/2002,Female
NASAW00015631,8/17/1997,Male
NASAW00015632,6/2/1990,Female
NASAW00015633,5/30/2000,Female
NASAW00015634,9/8/1990,Male
NASAW00015635,4/11/2004,Female
NASAW00015636,12/25/1996,Male
NASAW00015637,6/13/1995,Male
NASAW00015638,11/13/1980,Female
NASAW00015639,7/15/1992,Female
NASAW00015640,1/29/2003,Male
NASAW00015641,3/10/1991,Male
NASAW00015642,1/6/1991,Female
NASAW00015643,11/19/1983,Male
NASAW00015644,4/22/1986,Female
NASAW00015645,2/23/1981,Male
NASAW00015646,6/27/1984,Female
NASAW00015647,5/8/1997,Female
NASAW00015648,9/16/1994,Male
NASAW00015649,5/25/1991,Female
NASAW00015650,11/2/1981,Male
NASAW00015651,9/29/1986,Female
NASAW00015652,10/1/1983,Female
NASAW00015653,3/10/1995,Male
NASAW00015654,3/12/1998,Male
NASAW00015655,11/15/1995,Female
NASAW00015656,7/14/1981,Male
NASAW00015657,1/16/2004,Male
NASAW00015658,1/21/1976,Female
NASAW00015659,10/28/1979,Female
NASAW00015660,3/11/1981,Female
NASAW00015661,1/18/1982,Male
NASAW00015662,8/11/1988,Female
NASAW00015663,5/6/1983,Female
NASAW00015664,12/11/1984,Female
NASAW00015665,1/16/1991,Female
NASAW00015666,11/7/1998,Female
NASAW00015667,7/28/1979,Male
NASAW00015668,4/13/1977,Male
NASAW00015669,8/23/2002,Female
NASAW00015670,6/19/1983,Male
NASAW00015671,4/16/1979,Male
NASAW00015672,8/17/1996,Male
NASAW00015673,12/3/1980,Male
NASAW00015674,5/24/1986,Male
NASAW00015675,1/17/1975,Male
NASAW00015676,2/22/1981,Male
NASAW00015677,3/14/2002,Female
NASAW00015678,4/15/1982,Female
NASAW00015679,3/2/1988,Male
NASAW00015680,5/17/1977,Female
NASAW00015681,8/15/1985,Female
NASAW00015682,4/29/1982,Female
NASAW00015683,3/9/1979,Female
NASAW00015684,8/10/1991,Male
NASAW00015685,11/19/1982,Female
NASAW00015686,7/16/1987,Male
NASAW00015687,1/26/1987,Male
NASAW00015688,6/19/1984,Male
NASAW00015689,2/9/1994,Female
NASAW00015690,6/19/1975,Male
NASAW00015691,10/27/1984,Male
NASAW00015692,10/18/1978,Male
NASAW00015693,5/11/1981,Female
NASAW00015694,5/20/1990,Female
NASAW00015695,5/28/2004,Male
NASAW00015696,8/16/1997,Male
NASAW00015697,6/1/1979,Female
NASAW00015698,8/27/1976,Female
NASAW00015699,2/26/1984,Male
NASAW00015700,5/21/1985,Male
NASAW00015701,11/4/1982,Female
NASAW00015702,3/9/1999,Female
NASAW00015703,12/27/1990,Female
NASAW00015704,12/9/2004,Male
NASAW00015705,4/4/1977,Male
NASAW00015706,2/15/1978,Female
NASAW00015707,7/7/1995,Female
NASAW00015708,5/19/1991,Female
NASAW00015709,9/6/1984,Female
NASAW00015710,1/10/1975,Female
NASAW00015711,4/24/1988,Male
NASAW00015712,12/17/2001,Female
NASAW00015713,5/29/1975,Female
NASAW00015714,1/18/1975,Female
NASAW00015715,4/1/1981,Female
NASAW00015716,10/19/1993,Male
NASAW00015717,9/3/1995,Female
NASAW00015718,8/11/1992,Female
NASAW00015719,2/15/1979,Female
NASAW00015720,5/2/1995,Female
NASAW00015721,9/13/2000,Female
NASAW00015722,3/17/2001,Female
NASAW00015723,11/21/1994,Female
NASAW00015724,11/14/1986,Male
NASAW00015725,3/13/2002,Male
NASAW00015726,9/4/1980,Female
NASAW00015727,2/9/1999,Female
NASAW00015728,7/17/1979,Male
NASAW00015729,11/20/1975,Female
NASAW00015730,3/20/2002,Male
NASAW00015731,8/12/1994,Male
NASAW00015732,10/6/1989,Female
NASAW00015733,10/23/1996,Female
NASAW00015734,10/11/1983,Female
NASAW00015735,1/22/1996,Female
NASAW00015736,6/7/1998,Female
NASAW00015737,1/27/1993,Male
NASAW00015738,10/7/1976,Female
NASAW00015739,5/12/1996,Male
NASAW00015740,11/19/1979,Male
NASAW00015741,5/12/1982,Female
NASAW00015742,7/4/2003,Female
NASAW00015743,6/28/2000,Female
NASAW00015744,9/22/2004,Female
NASAW00015745,5/17/2000,Male
NASAW00015746,7/19/2002,Female
NASAW00015747,4/30/1982,Male
NASAW00015748,6/11/1990,Male
NASAW00015749,1/16/1995,Female
NASAW00015750,10/29/2000,Female
NASAW00015751,9/15/2003,Female
NASAW00015752,11/6/1978,Male
NASAW00015753,5/18/1982,Female
NASAW00015754,9/14/2004,Female
NASAW00015755,9/24/1989,Male
NASAW00015756,5/16/1985,Female
NASAW00015757,12/5/1985,Male
NASAW00015758,8/31/1992,Male
NASAW00015759,5/26/1995,Female
NASAW00015760,12/29/1977,Male
NASAW00015761,10/22/1981,Male
NASAW00015762,11/14/1990,Male
NASAW00015763,4/23/1993,Male
NASAW00015764,4/22/2000,Male
NASAW00015765,8/21/1997,Male
NASAW00015766,8/26/1997,Female
NASAW00015767,6/28/2002,Male
NASAW00015768,10/22/2003,Female
NASAW00015769,7/31/1979,Female
NASAW00015770,5/1/1995,Male
NASAW00015771,12/20/1991,Female
NASAW00015772,11/16/1995,Male
NASAW00015773,6/7/1980,Male
NASAW00015774,2/6/1996,Female
NASAW00015775,5/6/1981,Female
NASAW00015776,6/6/1996,Male
NASAW00015777,1/17/1988,Female
NASAW00015778,8/7/1997,Male
NASAW00015779,5/29/1987,Male
NASAW00015780,12/2/1976,Female
NASAW00015781,11/11/1988,Male
NASAW00015782,9/25/1979,Female
NASAW00015783,8/26/1985,Male
NASAW00015784,2/12/1985,Female
NASAW00015785,7/24/1981,Male
NASAW00015786,11/4/1990,Male
NASAW00015787,12/19/2003,Female
NASAW00015788,12/8/1981,Female
NASAW00015789,11/27/1980,Female
NASAW00015790,10/21/1981,Male
NASAW00015791,8/10/1983,Female
NASAW00015792,2/18/1975,Male
NASAW00015793,9/1/1988,Female
NASAW00015794,3/12/1988,Female
NASAW00015795,10/17/1995,Female
NASAW00015796,2/22/1983,Male
NASAW00015797,10/11/1986,Male
NASAW00015798,6/4/1998,Female
NASAW00015799,6/4/1997,Female
NASAW00015800,10/22/1982,Male
NASAW00015801,2/22/2002,Female
NASAW00015802,4/30/1988,Female
NASAW00015803,1/23/1996,Male
NASAW00015804,4/4/1983,Female
NASAW00015805,7/13/1979,Female
NASAW00015806,12/20/1990,Male
NASAW00015807,3/11/1989,Male
NASAW00015808,6/19/1993,Female
NASAW00015809,7/27/1976,Male
NASAW00015810,8/3/1988,Female
NASAW00015811,3/23/1980,Male
NASAW00015812,11/16/1994,Male
NASAW00015813,8/5/2000,Male
NASAW00015814,6/19/1989,Female
NASAW00015815,3/24/1990,Female
NASAW00015816,12/7/2002,Female
NASAW00015817,10/9/1998,Female
NASAW00015818,10/3/1979,Male
NASAW00015819,8/29/1987,Female
NASAW00015820,8/29/2003,Male
NASAW00015821,7/24/1992,Male
NASAW00015822,11/18/1995,Male
NASAW00015823,9/12/1989,Female
NASAW00015824,9/19/1978,Female
NASAW00015825,8/1/1984,Female
NASAW00015826,12/17/1976,Female
NASAW00015827,9/19/1990,Female
NASAW00015828,4/19/1989,Female
NASAW00015829,1/2/1985,Male
NASAW00015830,3/17/2001,Female
NASAW00015831,8/8/1994,Male
NASAW00015832,8/20/1994,Male
NASAW00015833,7/24/1976,Female
NASAW00015834,2/4/1984,Female
NASAW00015835,6/2/1996,Male
NASAW00015836,4/27/1991,Male
NASAW00015837,6/5/1990,Female
NASAW00015838,4/22/1984,Female
NASAW00015839,10/25/2002,Male
NASAW00015840,10/19/1975,Female
NASAW00015841,11/18/2004,Male
NASAW00015842,11/3/1978,Female
NASAW00015843,11/4/1978,Male
NASAW00015844,4/2/1991,Female
NASAW00015845,9/26/2004,Female
NASAW00015846,12/13/1995,Male
NASAW00015847,12/6/1987,Male
NASAW00015848,3/26/1981,Female
NASAW00015849,2/10/2003,Female
NASAW00015850,4/11/1984,Female
NASAW00015851,1/8/1991,Female
NASAW00015852,9/22/1994,Male
NASAW00015853,7/16/1985,Female
NASAW00015854,6/9/1985,Female
NASAW00015855,6/30/1993,Male
NASAW00015856,11/26/2003,Male
NASAW00015857,6/9/1993,Female
NASAW00015858,2/18/1990,Male
NASAW00015859,3/19/2004,Female
NASAW00015860,11/10/2000,Male
NASAW00015861,4/12/1997,Male
NASAW00015862,10/31/1980,Female
NASAW00015863,3/22/2004,Male
NASAW00015864,4/14/1986,Female
NASAW00015865,9/8/1982,Female
NASAW00015866,2/25/1978,Female
NASAW00015867,9/3/1998,Female
NASAW00015868,12/29/1979,Male
NASAW00015869,3/31/1992,Female
NASAW00015870,1/8/1979,Female
NASAW00015871,10/6/1993,Male
NASAW00015872,8/5/1985,Female
NASAW00015873,9/6/1989,Female
NASAW00015874,5/3/1980,Male
NASAW00015875,10/16/1998,Male
NASAW00015876,2/2/2003,Male
NASAW00015877,2/11/1986,Male
NASAW00015878,3/15/1989,Male
NASAW00015879,10/15/1994,Male
NASAW00015880,7/19/1993,Male
NASAW00015881,3/16/1993,Female
NASAW00015882,1/9/1999,Male
NASAW00015883,10/17/2002,Male
NASAW00015884,2/10/1986,Male
NASAW00015885,5/30/1991,Male
NASAW00015886,6/3/1983,Male
NASAW00015887,6/26/1989,Female
NASAW00015888,3/2/1981,Female
NASAW00015889,1/17/1983,Male
NASAW00015890,11/1/2001,Male
NASAW00015891,2/4/1982,Male
NASAW00015892,7/20/1981,Female
NASAW00015893,9/2/1987,Female
NASAW00015894,10/24/1987,Female
NASAW00015895,5/27/1992,Female
NASAW00015896,1/24/1986,Male
NASAW00015897,7/21/1977,Female
NASAW00015898,3/26/1978,Male
NASAW00015899,5/26/1977,Male
NASAW00015900,7/14/1983,Male
NASAW00015901,7/5/1976,Female
NASAW00015902,10/15/1981,Male
NASAW00015903,3/4/1992,Female
NASAW00015904,9/12/2003,Female
NASAW00015905,2/21/2004,Female
NASAW00015906,4/10/1983,Female
NASAW00015907,11/5/1999,Male
NASAW00015908,7/23/1991,Male
NASAW00015909,2/10/1989,Female
NASAW00015910,12/25/2002,Male
NASAW00015911,1/27/1985,Female
NASAW00015912,8/25/1999,Female
NASAW00015913,6/24/1994,Male
NASAW00015914,2/26/2001,Male
NASAW00015915,7/31/1990,Male
NASAW00015916,11/13/1990,Male
NASAW00015917,1/26/1980,Female
NASAW00015918,2/18/1982,Male
NASAW00015919,11/26/2000,Female
NASAW00015920,11/20/1976,Male
NASAW00015921,2/29/1984,Male
NASAW00015922,1/31/1993,Male
NASAW00015923,4/21/1988,Male
NASAW00015924,1/15/1977,Male
NASAW00015925,8/8/1994,Male
NASAW00015926,12/3/1998,Female
NASAW00015927,9/8/1994,Male
NASAW00015928,2/5/1991,Female
NASAW00015929,9/22/1997,Female
NASAW00015930,6/19/1979,Female
NASAW00015931,1/3/1990,Male
NASAW00015932,5/26/1993,Female
NASAW00015933,10/20/1984,Male
NASAW00015934,10/3/1997,Female
NASAW00015935,5/29/1978,Female
NASAW00015936,9/16/1976,Female
NASAW00015937,5/16/1996,Female
NASAW00015938,2/17/1978,Male
NASAW00015939,8/17/1977,Female
NASAW00015940,12/28/1976,Male
NASAW00015941,8/26/1994,Female
NASAW00015942,1/15/1990,Male
NASAW00015943,1/20/1982,Male
NASAW00015944,5/7/1975,Male
NASAW00015945,7/4/2002,Female
NASAW00015946,9/10/1988,Male
NASAW00015947,10/12/1987,Female
NASAW00015948,4/21/2002,Female
NASAW00015949,3/7/1983,Female
NASAW00015950,6/12/1988,Female
NASAW00015951,11/22/1983,Female
NASAW00015952,8/31/1990,Male
NASAW00015953,5/28/1980,Male
NASAW00015954,8/28/1999,Male
NASAW00015955,12/19/1979,Male
NASAW00015956,1/3/1994,Male
NASAW00015957,9/14/1988,Male
NASAW00015958,12/11/1984,Female
NASAW00015959,10/28/2001,Male
NASAW00015960,9/10/1976,Female
NASAW00015961,11/19/1991,Female
NASAW00015962,3/8/1989,Male
NASAW00015963,9/8/1998,Female
NASAW00015964,6/27/1975,Male
NASAW00015965,4/17/1976,Female
NASAW00015966,4/14/1976,Female
NASAW00015967,9/27/2002,Male
NASAW00015968,12/26/1997,Male
NASAW00015969,1/5/2003,Male
NASAW00015970,3/27/1979,Male
NASAW00015971,1/23/1992,Male
NASAW00015972,9/12/1989,Female
NASAW00015973,1/11/2004,Male
NASAW00015974,9/5/1977,Male
NASAW00015975,4/2/1993,Female
NASAW00015976,2/24/1979,Male
NASAW00015977,9/24/1981,Female
NASAW00015978,7/20/1999,Male
NASAW00015979,12/16/1992,Female
NASAW00015980,4/2/1980,Female
NASAW00015981,4/4/1977,Male
NASAW00015982,4/12/2003,Male
NASAW00015983,2/7/1979,Female
NASAW00015984,10/24/1980,Male
NASAW00015985,11/26/1999,Male
NASAW00015986,2/12/1988,Male
NASAW00015987,4/25/1986,Female
NASAW00015988,11/3/1985,Male
NASAW00015989,9/25/1981,Female
NASAW00015990,6/23/1999,Male
NASAW00015991,6/11/1996,Male
NASAW00015992,2/8/1997,Female
NASAW00015993,1/19/2004,Male
NASAW00015994,2/1/1988,Female
NASAW00015995,4/27/1985,Female
NASAW00015996,11/14/1977,Female
NASAW00015997,5/2/1998,Female
NASAW00015998,4/14/1989,Female
NASAW00015999,11/13/1984,Female
NASAW00016000,10/4/1981,Female
NASAW00016001,9/9/1990,Male
NASAW00016002,5/28/1975,Female
NASAW00016003,7/11/1998,Female
NASAW00016004,7/11/1992,Male
NASAW00016005,4/3/1981,Male
NASAW00016006,8/30/1995,Female
NASAW00016007,1/20/1980,Female
NASAW00016008,1/1/2000,Female
NASAW00016009,1/15/1986,Male
NASAW00016010,10/16/1985,Female
NASAW00016011,4/14/1989,Female
NASAW00016012,12/24/1990,Female
NASAW00016013,1/17/2003,Male
NASAW00016014,8/21/1993,Male
NASAW00016015,4/24/2003,Female
NASAW00016016,9/11/1976,Male
NASAW00016017,10/3/1981,Male
NASAW00016018,5/21/1988,Female
NASAW00016019,9/6/1976,Female
NASAW00016020,1/13/1997,Male
NASAW00016021,12/7/2000,Female
NASAW00016022,5/3/1998,Male
NASAW00016023,11/10/1987,Male
NASAW00016024,9/12/1996,Male
NASAW00016025,10/18/1993,Male
NASAW00016026,10/15/1991,Male
NASAW00016027,4/2/1988,Female
NASAW00016028,5/28/1995,Male
NASAW00016029,11/19/2001,Female
NASAW00016030,8/5/1981,Male
NASAW00016031,3/22/1978,Male
NASAW00016032,9/17/2003,Male
NASAW00016033,2/17/1987,Female
NASAW00016034,3/28/1999,Female
NASAW00016035,5/18/1986,Male
NASAW00016036,9/11/1976,Female
NASAW00016037,9/5/1994,Female
NASAW00016038,3/18/1987,Male
NASAW00016039,12/20/1984,Male
NASAW00016040,12/1/1976,Male
NASAW00016041,5/9/1978,Male
NASAW00016042,11/21/1976,Male
NASAW00016043,6/8/1983,Male
NASAW00016044,8/19/1980,Female
NASAW00016045,7/14/2001,Female
NASAW00016046,1/17/1997,Female
NASAW00016047,4/17/1997,Female
NASAW00016048,7/25/1981,Female
NASAW00016049,6/28/1980,Female
NASAW00016050,6/19/1998,Male
NASAW00016051,3/28/1982,Male
NASAW00016052,8/8/2000,Male
NASAW00016053,5/24/1982,Male
NASAW00016054,10/18/1994,Male
NASAW00016055,3/17/1975,Male
NASAW00016056,9/6/1976,Female
NASAW00016057,11/19/1989,Female
NASAW00016058,7/20/1981,Female
NASAW00016059,7/25/1994,Male
NASAW00016060,5/27/1999,Male
NASAW00016061,6/15/1981,Male
NASAW00016062,3/31/1975,Female
NASAW00016063,1/10/1977,Male
NASAW00016064,5/29/1999,Female
NASAW00016065,3/9/2003,Female
NASAW00016066,12/7/1981,Male
NASAW00016067,11/24/2002,Female
NASAW00016068,3/15/1977,Male
NASAW00016069,4/28/2003,Female
NASAW00016070,1/16/1979,Female
NASAW00016071,12/19/2001,Female
NASAW00016072,1/28/1993,Male
NASAW00016073,9/14/2000,Female
NASAW00016074,9/14/1995,Male
NASAW00016075,8/23/1985,Female
NASAW00016076,2/4/1982,Female
NASAW00016077,7/26/1993,Female
NASAW00016078,9/7/1991,Female
NASAW00016079,12/28/1991,Female
NASAW00016080,12/30/1980,Male
NASAW00016081,1/7/1996,Male
NASAW00016082,8/25/1993,Female
NASAW00016083,9/17/2003,Female
NASAW00016084,11/17/1999,Female
NASAW00016085,12/1/1986,Male
NASAW00016086,9/23/1995,Male
NASAW00016087,5/13/1996,Male
NASAW00016088,7/13/1994,Male
NASAW00016089,11/11/1996,Male
NASAW00016090,7/4/1976,Female
NASAW00016091,3/8/1989,Female
NASAW00016092,12/11/1999,Female
NASAW00016093,10/1/1990,Female
NASAW00016094,8/31/2003,Female
NASAW00016095,4/11/2003,Male
NASAW00016096,9/18/1975,Male
NASAW00016097,11/14/1994,Female
NASAW00016098,3/24/1977,Female
NASAW00016099,11/13/1989,Male
NASAW00016100,5/25/1981,Male
NASAW00016101,7/29/1999,Female
NASAW00016102,4/12/1989,Male
NASAW00016103,5/11/1994,Female
NASAW00016104,4/16/1981,Female
NASAW00016105,3/23/1999,Female
NASAW00016106,4/11/2002,Male
NASAW00016107,4/4/1990,Female
NASAW00016108,10/22/1997,Male
NASAW00016109,4/27/2004,Male
NASAW00016110,11/24/1987,Male
NASAW00016111,11/4/1984,Female
NASAW00016112,6/23/1996,Male
NASAW00016113,7/13/1976,Male
NASAW00016114,5/6/1999,Male
NASAW00016115,1/24/1990,Female
NASAW00016116,7/22/1989,Male
NASAW00016117,11/14/2000,Male
NASAW00016118,1/11/1981,Male
NASAW00016119,1/27/1998,Female
NASAW00016120,5/20/1978,Male
NASAW00016121,2/23/1996,Female
NASAW00016122,7/9/1975,Male
NASAW00016123,8/8/1982,Female
NASAW00016124,10/27/1975,Male
NASAW00016125,11/6/1975,Female
NASAW00016126,2/19/2000,Female
NASAW00016127,10/14/1986,Female
NASAW00016128,1/30/1994,Female
